id,timestamp,user,odometer,trip,tank_id,pay
1,2025-09-12 10:56:00,rosario,71637,51,1,0
2,2025-09-12 14:59:00,agustin,71688,604,1,0
3,2025-09-14 20:59:00,agustin,72292,518,2,60000
4,2025-09-26 07:28:00,nicolas,72810,28,2,0
5,2025-09-26 22:10:00,rosario,72838,26,2,0
6,2025-09-27 19:43:00,nicolas,72864,32,2,0
8,2025-09-28 18:24:00,agustin,72896,15,2,0
9,2025-09-28 19:25:00,agustin,72911,52,3,59500
10,2025-09-01 00:27:00,rosario,72963,82,3,0
7,2025-10-01 01:00:00,nicolas,73045,56,3,0
12,2025-10-01 08:25:00,agustin,73101,83,3,0
11,2025-10-03 08:24:00,nicolas,73184,99,3,0
13,2025-10-05 11:52:00,agustin,73283,13,3,0
14,2025-10-06 06:31:00,rosario,73296,77,3,0
15,2025-10-06 22:43:00,agustin,73373,69,3,0
16,2025-10-08 01:13:00,nicolas,73442,34,3,0
17,2025-10-08 08:13:00,agustin,73476,8,3,0
18,2025-10-08 08:38:00,agustin,73484,133,4,56280
19,2025-10-11 11:02:00,rosario,73617,59,4,0
20,2025-10-11 13:45:00,nicolas,73676,111,4,0
21,2025-10-13 08:09:00,agustin,73787,71,4,0
22,2025-10-14 06:55:00,rosario,73858,34,4,0
23,2025-10-14 12:49:00,papa,73892,59,4,0
24,2025-10-14 18:36:00,nicolas,73951,81,4,0
25,2025-10-15 08:16:00,agustin,74032,57,4,0
26,2025-10-15 18:04:00,agustin,74089,26,5,60746
27,2025-10-16 00:43:00,rosario,74115,61,5,0
28,2025-10-16 12:59:00,agustin,74176,13,5,0
29,2025-10-17 07:54:00,nicolas,74189,78,5,0
30,2025-10-18 18:59:00,rosario,74267,72,5,0
31,2025-10-19 18:03:00,agustin,74339,116,5,0
32,2025-10-22 06:36:00,rosario,74455,75,5,0
33,2025-10-24 09:25:00,nicolas,74530,119,5,0
34,2025-10-25 10:25:00,rosario,74649,57,5,0
35,2025-10-25 13:27:00,rosario,74706,33,6,59300
36,2025-10-25 16:39:00,nicolas,74739,67,6,0
37,2025-10-26 10:24:00,agustin,74806,108,6,0
38,2025-10-27 09:12:00,nicolas,74914,66,6,0
39,2025-10-29 08:15:00,agustin,74980,306,6,0
40,2025-11-05 17:28:00,nicolas,75286,19,6,0
41,2025-11-05 17:29:00,nicolas,75305,14,7,58266
42,2025-11-06 17:30:00,nicolas,75319,33,7,0
43,2025-11-06 17:31:00,agustin,75352,176,7,0
56,2025-11-08 10:11:00,rosario,75528,140,7,0
44,2025-11-09 17:32:00,agustin,75668,108,7,0
54,2025-11-11 17:49:00,nicolas,75776,43,7,0
55,2025-11-12 17:50:00,nicolas,75819,16,8,50006
45,2025-11-13 17:39:00,rosario,75835,83,8,0
46,2025-11-13 17:40:00,agustin,75918,46,8,0
47,2025-11-14 17:40:00,rosario,75964,17,8,0
48,2025-11-14 17:41:00,mama,75981,27,8,0
49,2025-11-14 17:41:00,rosario,76008,78,8,0
50,2025-11-15 17:42:00,agustin,76086,194,8,0
51,2025-11-18 17:42:00,rosario,76280,97,8,0
52,2025-11-19 06:00:00,rosario,76377,28,9,57800
53,2025-11-19 17:48:00,mama,76405,0,9,0
57,2025-11-25 11:18:00,nicolas,76405,0,9,0
